No,userName,content,Label
1,Abdullah kurnain Husain,App nya lancar bagus..gk ribet lg buat cari tiket... mantap,Positif
2,Eko Wahyudi,Bagus. Dan sangat membentu,Positif
3,Tiara Dwi Pramesawari,"Aplikasi sangat membantu pemesanan tiket, banyak diskon dan promo menarik tersedia recommended",Positif
4,Modesta Mod,"mudah, senang, easy",Positif
5,Ainur Rofiq Achmad,"Mantap, banyak potongan harga tiket,banyak pilihan buss",Positif
6,Bedjo Hokki,Trimakasih sudah di hub call center dan atas penyelesaian masalahnya ,Positif
7,fazal muttakun,Palayanan ramah banyak diskon pula ... Puas deh pake redBus,Positif
8,Dodi Jumadi,Sangat membantu dan pelayanan memuaskan,Positif
9,Abdul Hamid,Good. Pelayanan dan fasilitas oke,Positif
10,David Kharismanto,"Saya sudah bandingkan dg aplikasi biru, harga lebih murah dan ada voucher spesial pelayanan ramah dan solutif. rekomendasi bgt deh. Sekarang redbus pelayanannya jauh lbh baik dibandingkan dulu.",Positif
11,chandra widodo,Aplikasi mantap top markotop cepat cari bus dan layanannya terbaik..,Positif
12,Aditio Putra,Saya sebagai pengguna transportasi darat pertama di bus ini sungguh sangat puas dengan adanya aplikasi ini dan juga untuk pelayanan admin customer service sungguh cepat dan tanggap.,Positif
13,Heri Yanto,Memudahkan Pembelian tiket tanpa repot2 ke agen bus ny Sangat membantu sekali Dan dapat diskon untuk pengguna yg baru download aplikasinya Lumayan lah,Positif
14,Joksis,Mudah dan nyaman. Silahkan coba bisa pakai kode referral reduqhw6 Terima kasih ,Positif
15,Litte O Shop,"Proses cepat, harga sangat kompetitif dan diskonnya juga lumayan banget. Terimakasih banyak Red Bus.",Positif
16,andrea kalolo,sangat membantu,Positif
17,toto s,pelayanannya bagus dan cepat,Positif
18,Arif Budi Setyawan,"Selama setahun menggunakan aplikasi ini belum pernah mengalami kendala apapun. Sejauh ini cukup memuaskan, untuk 2 PO bus langganan saya (Haryanto dan Agra Mas).",Positif
19,Dede R.Sonjaya,Mantap...dirutinkan diskonnya dong ,Positif
20,meifi nandya,Buat beli tiket lebih gampang,Positif
21,Nendi Fachruli,Sangat membantu untuk tahu jadwal bus yg kita butuhkan...tapi klo bisa di tambah lagi PO yg ada di redbus,Positif
22,Alvaro Aditya,E ticket saya ga ada .. sudah di bayar .. mau komplain ga ada tanggapan..,Negatif
23,Tomi Hernanta,Kenapa gak bisa pesan kursi.....,Negatif
24,Metta Layungsari,Sangat membantu,Positif
25,Aldrion Wijaya,"Ini emg pas hari berangkatnya baru dikabarin atau gimana si,saya hubungi operatornya 1 hari sebelum berangkat kok gak bisa",Negatif
26,indah suryana,Sangat membantu,Positif
27,Febrianti Sari Fitriani,"Aplikasi gak bermutu , orang pilih pesan tiket dari aplikasi tuh biar memudahkan bukan malah bikin ribet, pesan dari jauh2 hari dengan harga yang sudah pasti dan sudah dibayar, H-1 mau berangkat harga dinaikin, disuruh pilih mau nambah harga atau dibatalin, gak ngotak.!!!!!",Negatif
